vector_size_exponent,vector_size,repetition,elapsed_time_ms
11,2048,1,0.925
11,2048,2,0.902
11,2048,3,0.898
11,2048,4,0.893
11,2048,5,0.885
11,2048,6,0.902
11,2048,7,0.886
11,2048,8,0.886
11,2048,9,0.889
11,2048,10,0.888
12,4096,1,2.095
12,4096,2,2.058
12,4096,3,2.053
12,4096,4,2.088
12,4096,5,2.069
12,4096,6,2.068
12,4096,7,2.06
12,4096,8,2.087
12,4096,9,2.066
12,4096,10,2.074
13,8192,1,4.775
13,8192,2,4.775
13,8192,3,4.815
13,8192,4,4.751
13,8192,5,4.744
13,8192,6,4.785
13,8192,7,4.781
13,8192,8,4.786
13,8192,9,4.785
13,8192,10,4.786
14,16384,1,10.833
14,16384,2,10.862
14,16384,3,10.82
14,16384,4,10.826
14,16384,5,10.912
14,16384,6,10.856
14,16384,7,10.863
14,16384,8,10.861
14,16384,9,10.867
14,16384,10,10.857
15,32768,1,24.448
15,32768,2,24.342
15,32768,3,24.421
15,32768,4,24.438
15,32768,5,24.355
15,32768,6,24.399
15,32768,7,24.413
15,32768,8,25.075
15,32768,9,24.771
15,32768,10,24.495
16,65536,1,54.436
16,65536,2,54.621
16,65536,3,54.266
16,65536,4,54.474
16,65536,5,54.732
16,65536,6,54.556
16,65536,7,54.977
16,65536,8,54.898
16,65536,9,54.338
16,65536,10,54.7
17,131072,1,121.554
17,131072,2,121.593
17,131072,3,121.486
17,131072,4,120.933
17,131072,5,121.148
17,131072,6,121.188
17,131072,7,121.351
17,131072,8,121.241
17,131072,9,121.631
17,131072,10,121.511
18,262144,1,268.695
18,262144,2,268.722
18,262144,3,268.891
18,262144,4,269.848
18,262144,5,268.68
18,262144,6,267.955
18,262144,7,268.481
18,262144,8,268.372
18,262144,9,269.706
18,262144,10,268.78
19,524288,1,592.184
19,524288,2,590.862
19,524288,3,590.75
19,524288,4,594.132
19,524288,5,591.463
19,524288,6,596.386
19,524288,7,592.473
19,524288,8,591.209
19,524288,9,590.093
19,524288,10,593.901
20,1048576,1,1295.33
20,1048576,2,1292.65
20,1048576,3,1281.67
20,1048576,4,1285.89
20,1048576,5,1298.32
20,1048576,6,1296.99
20,1048576,7,1297.44
20,1048576,8,1296.13
20,1048576,9,1297.82
20,1048576,10,1296.91
21,2097152,1,2830.42
21,2097152,2,2830.27
21,2097152,3,2828.23
21,2097152,4,2829.75
21,2097152,5,2830.35
21,2097152,6,2829.2
21,2097152,7,2830.44
21,2097152,8,2829.97
21,2097152,9,2832.11
21,2097152,10,2831.72
22,4194304,1,6160.23
22,4194304,2,6161.73
22,4194304,3,6160.69
22,4194304,4,6157.57
22,4194304,5,6158.95
22,4194304,6,6161.44
22,4194304,7,6159.05
22,4194304,8,6161.83
22,4194304,9,6159.36
22,4194304,10,6158.09
23,8388608,1,13363.4
23,8388608,2,13346.9
23,8388608,3,13370.5
23,8388608,4,13371
23,8388608,5,13371.3
23,8388608,6,13364
23,8388608,7,13371.3
23,8388608,8,13373.5
23,8388608,9,13364.1
23,8388608,10,13505.5
