vector_size_exponent,repetition,elapsed_time_ms
11,1,0.052224
11,2,0.053248
11,3,0.049152
11,4,0.048128
11,5,0.04608
12,1,0.0512
12,2,0.049152
12,3,0.050176
12,4,0.0512
12,5,0.050176
13,1,0.072704
13,2,0.075776
13,3,0.073728
13,4,0.074752
13,5,0.078848
14,1,0.08704
14,2,0.08704
14,3,0.086016
14,4,0.08704
14,5,0.083968
15,1,0.096384
15,2,0.102464
15,3,0.097024
15,4,0.096384
15,5,0.096864
16,1,0.11264
16,2,0.112576
16,3,0.111232
16,4,0.110016
16,5,0.110816
17,1,0.125472
17,2,0.123776
17,3,0.125152
17,4,0.12272
17,5,0.126528
18,1,0.14528
18,2,0.151104
18,3,0.143424
18,4,0.144992
18,5,0.142976
19,1,0.19472
19,2,0.194688
19,3,0.196224
19,4,0.197856
19,5,0.194272
20,1,0.259168
20,2,0.2616
20,3,0.260992
20,4,0.259008
20,5,0.267552
21,1,0.389568
21,2,0.38608
21,3,0.387008
21,4,0.385632
21,5,0.386912
22,1,0.773184
22,2,0.779456
22,3,0.771776
22,4,0.777536
22,5,0.775392
23,1,1.45683
23,2,1.45971
23,3,1.46659
23,4,1.53802
23,5,1.54022
24,1,2.94102
24,2,2.932
24,3,2.95773
24,4,3.14342
24,5,3.38339
25,1,7.04762
25,2,7.04358
25,3,7.04678
25,4,6.39808
25,5,5.94973
26,1,12.3057
26,2,12.549
26,3,12.5435
26,4,12.7944
26,5,12.7933
27,1,30.0535
27,2,26.4846
27,3,30.0535
27,4,26.4915
27,5,30.0582
28,1,62.774
28,2,62.7615
28,3,62.7703
28,4,62.7762
28,5,62.759
29,1,113.389
29,2,112.691
29,3,112.575
29,4,115.278
29,5,131.689
30,1,237.418
30,2,232.731
30,3,237.315
30,4,238.365
30,5,232.965
