vector_size_exponent,repetition,elapsed_time_ms
11,1,0.052224
11,2,0.052224
11,3,0.041984
11,4,0.044032
11,5,0.043008
12,1,0.04608
12,2,0.045056
12,3,0.043008
12,4,0.045056
12,5,0.044032
13,1,0.108544
13,2,0.105472
13,3,0.104448
13,4,0.106496
13,5,0.111616
14,1,0.109568
14,2,0.108544
14,3,0.116736
14,4,0.108544
14,5,0.110592
15,1,0.110432
15,2,0.108736
15,3,0.107872
15,4,0.10768
15,5,0.11008
16,1,0.11312
16,2,0.110656
16,3,0.11056
16,4,0.11216
16,5,0.111936
17,1,0.115616
17,2,0.114976
17,3,0.113472
17,4,0.120608
17,5,0.114112
18,1,0.137216
18,2,0.135904
18,3,0.136384
18,4,0.142272
18,5,0.133088
19,1,0.176768
19,2,0.17696
19,3,0.175968
19,4,0.173984
19,5,0.17536
20,1,0.255936
20,2,0.258976
20,3,0.26016
20,4,0.257792
20,5,0.259872
21,1,0.43216
21,2,0.4328
21,3,0.430336
21,4,0.43408
21,5,0.431968
22,1,0.707872
22,2,0.700864
22,3,0.702528
22,4,0.701696
22,5,0.702464
23,1,1.19418
23,2,1.19453
23,3,1.39632
23,4,1.37152
23,5,1.28486
24,1,2.24067
24,2,2.16125
24,3,2.15341
24,4,2.15837
24,5,2.25971
25,1,5.01795
25,2,5.29059
25,3,5.2993
25,4,4.87475
25,5,4.52237
26,1,10.1191
26,2,7.90019
26,3,7.90947
26,4,9.83469
26,5,9.71645
27,1,19.5555
27,2,17.2788
27,3,19.6035
27,4,17.8812
27,5,19.5771
28,1,32.7874
28,2,33.1217
28,3,32.7795
28,4,33.0856
28,5,32.7879
29,1,77.2117
29,2,57.7752
29,3,59.7981
29,4,58.347
29,5,74.0986
30,1,118.253
30,2,109.992
30,3,115.092
30,4,122.492
30,5,110.437
