vector_size_exponent,vector_size,threads_per_block_exponent,threads_per_block,comparators_per_thread_exponent,comparators_per_thread,values_per_block,blocks_per_grid,repetition,elapsed_time_ms
11,2048,5,32,0,1,64,32,1,0.088064
11,2048,5,32,0,1,64,32,2,0.07168
11,2048,5,32,0,1,64,32,3,0.072704
11,2048,5,32,0,1,64,32,4,0.072704
11,2048,5,32,0,1,64,32,5,0.072704
11,2048,5,32,0,1,64,32,6,0.07168
11,2048,5,32,0,1,64,32,7,0.07168
11,2048,5,32,0,1,64,32,8,0.07168
11,2048,5,32,0,1,64,32,9,0.07168
11,2048,5,32,0,1,64,32,10,0.07168
11,2048,5,32,1,2,128,16,1,0.091136
11,2048,5,32,1,2,128,16,2,0.072704
11,2048,5,32,1,2,128,16,3,0.072704
11,2048,5,32,1,2,128,16,4,0.072704
11,2048,5,32,1,2,128,16,5,0.072704
11,2048,5,32,1,2,128,16,6,0.072704
11,2048,5,32,1,2,128,16,7,0.073728
11,2048,5,32,1,2,128,16,8,0.072704
11,2048,5,32,1,2,128,16,9,0.072704
11,2048,5,32,1,2,128,16,10,0.072704
11,2048,5,32,2,4,256,8,1,0.105472
11,2048,5,32,2,4,256,8,2,0.086016
11,2048,5,32,2,4,256,8,3,0.086016
11,2048,5,32,2,4,256,8,4,0.086016
11,2048,5,32,2,4,256,8,5,0.086016
11,2048,5,32,2,4,256,8,6,0.086016
11,2048,5,32,2,4,256,8,7,0.086016
11,2048,5,32,2,4,256,8,8,0.086016
11,2048,5,32,2,4,256,8,9,0.086016
11,2048,5,32,2,4,256,8,10,0.086016
11,2048,5,32,3,8,512,4,1,0.147456
11,2048,5,32,3,8,512,4,2,0.124928
11,2048,5,32,3,8,512,4,3,0.124928
11,2048,5,32,3,8,512,4,4,0.124928
11,2048,5,32,3,8,512,4,5,0.124928
11,2048,5,32,3,8,512,4,6,0.125952
11,2048,5,32,3,8,512,4,7,0.124928
11,2048,5,32,3,8,512,4,8,0.124928
11,2048,5,32,3,8,512,4,9,0.124928
11,2048,5,32,3,8,512,4,10,0.125952
11,2048,5,32,4,16,1024,2,1,0.243712
11,2048,5,32,4,16,1024,2,2,0.208896
11,2048,5,32,4,16,1024,2,3,0.208896
11,2048,5,32,4,16,1024,2,4,0.208896
11,2048,5,32,4,16,1024,2,5,0.207872
11,2048,5,32,4,16,1024,2,6,0.208896
11,2048,5,32,4,16,1024,2,7,0.207872
11,2048,5,32,4,16,1024,2,8,0.208896
11,2048,5,32,4,16,1024,2,9,0.207872
11,2048,5,32,4,16,1024,2,10,0.20992
11,2048,6,64,0,1,128,16,1,0.05632
11,2048,6,64,0,1,128,16,2,0.057344
11,2048,6,64,0,1,128,16,3,0.05632
11,2048,6,64,0,1,128,16,4,0.05632
11,2048,6,64,0,1,128,16,5,0.05632
11,2048,6,64,0,1,128,16,6,0.058368
11,2048,6,64,0,1,128,16,7,0.05632
11,2048,6,64,0,1,128,16,8,0.057344
11,2048,6,64,0,1,128,16,9,0.057344
11,2048,6,64,0,1,128,16,10,0.05632
11,2048,6,64,1,2,256,8,1,0.058368
11,2048,6,64,1,2,256,8,2,0.059392
11,2048,6,64,1,2,256,8,3,0.058368
11,2048,6,64,1,2,256,8,4,0.058368
11,2048,6,64,1,2,256,8,5,0.059392
11,2048,6,64,1,2,256,8,6,0.059392
11,2048,6,64,1,2,256,8,7,0.059392
11,2048,6,64,1,2,256,8,8,0.059392
11,2048,6,64,1,2,256,8,9,0.058368
11,2048,6,64,1,2,256,8,10,0.059392
11,2048,6,64,2,4,512,4,1,0.074752
11,2048,6,64,2,4,512,4,2,0.073728
11,2048,6,64,2,4,512,4,3,0.073728
11,2048,6,64,2,4,512,4,4,0.073728
11,2048,6,64,2,4,512,4,5,0.072704
11,2048,6,64,2,4,512,4,6,0.072704
11,2048,6,64,2,4,512,4,7,0.073728
11,2048,6,64,2,4,512,4,8,0.073728
11,2048,6,64,2,4,512,4,9,0.073728
11,2048,6,64,2,4,512,4,10,0.072704
11,2048,6,64,3,8,1024,2,1,0.11264
11,2048,6,64,3,8,1024,2,2,0.111616
11,2048,6,64,3,8,1024,2,3,0.11264
11,2048,6,64,3,8,1024,2,4,0.111616
11,2048,6,64,3,8,1024,2,5,0.111616
11,2048,6,64,3,8,1024,2,6,0.11264
11,2048,6,64,3,8,1024,2,7,0.11264
11,2048,6,64,3,8,1024,2,8,0.11264
11,2048,6,64,3,8,1024,2,9,0.111616
11,2048,6,64,3,8,1024,2,10,0.111616
11,2048,6,64,4,16,2048,1,1,0.198656
11,2048,6,64,4,16,2048,1,2,0.197632
11,2048,6,64,4,16,2048,1,3,0.197632
11,2048,6,64,4,16,2048,1,4,0.198656
11,2048,6,64,4,16,2048,1,5,0.197632
11,2048,6,64,4,16,2048,1,6,0.197632
11,2048,6,64,4,16,2048,1,7,0.198656
11,2048,6,64,4,16,2048,1,8,0.198656
11,2048,6,64,4,16,2048,1,9,0.197632
11,2048,6,64,4,16,2048,1,10,0.198656
11,2048,7,128,0,1,256,8,1,0.044032
11,2048,7,128,0,1,256,8,2,0.044032
11,2048,7,128,0,1,256,8,3,0.044032
11,2048,7,128,0,1,256,8,4,0.044032
11,2048,7,128,0,1,256,8,5,0.044032
11,2048,7,128,0,1,256,8,6,0.044032
11,2048,7,128,0,1,256,8,7,0.043008
11,2048,7,128,0,1,256,8,8,0.044032
11,2048,7,128,0,1,256,8,9,0.044032
11,2048,7,128,0,1,256,8,10,0.044032
11,2048,7,128,1,2,512,4,1,0.048128
11,2048,7,128,1,2,512,4,2,0.047104
11,2048,7,128,1,2,512,4,3,0.048128
11,2048,7,128,1,2,512,4,4,0.047104
11,2048,7,128,1,2,512,4,5,0.047104
11,2048,7,128,1,2,512,4,6,0.048128
11,2048,7,128,1,2,512,4,7,0.047104
11,2048,7,128,1,2,512,4,8,0.048128
11,2048,7,128,1,2,512,4,9,0.047104
11,2048,7,128,1,2,512,4,10,0.047104
11,2048,7,128,2,4,1024,2,1,0.063488
11,2048,7,128,2,4,1024,2,2,0.063488
11,2048,7,128,2,4,1024,2,3,0.063488
11,2048,7,128,2,4,1024,2,4,0.063488
11,2048,7,128,2,4,1024,2,5,0.063488
11,2048,7,128,2,4,1024,2,6,0.064512
11,2048,7,128,2,4,1024,2,7,0.063488
11,2048,7,128,2,4,1024,2,8,0.064512
11,2048,7,128,2,4,1024,2,9,0.063488
11,2048,7,128,2,4,1024,2,10,0.064512
