vector_size_exponent,vector_size,threads_per_block_exponent,threads_per_block,comparators_per_thread_exponent,comparators_per_thread,values_per_block,blocks_per_grid,repetition,elapsed_time_ms
11,2048,5,32,0,1,64,32,1,0.293888
11,2048,5,32,0,1,64,32,2,0.288768
11,2048,5,32,0,1,64,32,3,0.289792
11,2048,5,32,0,1,64,32,4,0.287744
11,2048,5,32,0,1,64,32,5,0.288768
11,2048,5,32,0,1,64,32,6,0.289792
11,2048,5,32,0,1,64,32,7,0.287744
11,2048,5,32,0,1,64,32,8,0.29184
11,2048,5,32,0,1,64,32,9,0.289792
11,2048,5,32,0,1,64,32,10,0.289792
11,2048,5,32,1,2,128,16,1,0.33792
11,2048,5,32,1,2,128,16,2,0.324608
11,2048,5,32,1,2,128,16,3,0.323584
11,2048,5,32,1,2,128,16,4,0.324608
11,2048,5,32,1,2,128,16,5,0.324608
11,2048,5,32,1,2,128,16,6,0.323584
11,2048,5,32,1,2,128,16,7,0.32256
11,2048,5,32,1,2,128,16,8,0.324608
11,2048,5,32,1,2,128,16,9,0.323584
11,2048,5,32,1,2,128,16,10,0.32256
11,2048,5,32,2,4,256,8,1,0.390144
11,2048,5,32,2,4,256,8,2,0.376832
11,2048,5,32,2,4,256,8,3,0.377856
11,2048,5,32,2,4,256,8,4,0.377856
11,2048,5,32,2,4,256,8,5,0.377856
11,2048,5,32,2,4,256,8,6,0.377856
11,2048,5,32,2,4,256,8,7,0.377856
11,2048,5,32,2,4,256,8,8,0.377856
11,2048,5,32,2,4,256,8,9,0.37888
11,2048,5,32,2,4,256,8,10,0.376832
11,2048,5,32,3,8,512,4,1,0.52224
11,2048,5,32,3,8,512,4,2,0.504832
11,2048,5,32,3,8,512,4,3,0.503808
11,2048,5,32,3,8,512,4,4,0.502784
11,2048,5,32,3,8,512,4,5,0.503808
11,2048,5,32,3,8,512,4,6,0.50176
11,2048,5,32,3,8,512,4,7,0.50176
11,2048,5,32,3,8,512,4,8,0.50176
11,2048,5,32,3,8,512,4,9,0.502784
11,2048,5,32,3,8,512,4,10,0.503808
11,2048,5,32,4,16,1024,2,1,0.753664
11,2048,5,32,4,16,1024,2,2,0.731136
11,2048,5,32,4,16,1024,2,3,0.730112
11,2048,5,32,4,16,1024,2,4,0.731136
11,2048,5,32,4,16,1024,2,5,0.731136
11,2048,5,32,4,16,1024,2,6,0.73216
11,2048,5,32,4,16,1024,2,7,0.731136
11,2048,5,32,4,16,1024,2,8,0.730112
11,2048,5,32,4,16,1024,2,9,0.730112
11,2048,5,32,4,16,1024,2,10,0.731136
11,2048,6,64,0,1,128,16,1,0.29184
11,2048,6,64,0,1,128,16,2,0.29184
11,2048,6,64,0,1,128,16,3,0.290816
11,2048,6,64,0,1,128,16,4,0.289792
11,2048,6,64,0,1,128,16,5,0.29184
11,2048,6,64,0,1,128,16,6,0.290816
11,2048,6,64,0,1,128,16,7,0.29184
11,2048,6,64,0,1,128,16,8,0.289792
11,2048,6,64,0,1,128,16,9,0.289792
11,2048,6,64,0,1,128,16,10,0.292864
11,2048,6,64,1,2,256,8,1,0.32256
11,2048,6,64,1,2,256,8,2,0.321536
11,2048,6,64,1,2,256,8,3,0.320512
11,2048,6,64,1,2,256,8,4,0.321536
11,2048,6,64,1,2,256,8,5,0.320512
11,2048,6,64,1,2,256,8,6,0.323584
11,2048,6,64,1,2,256,8,7,0.32256
11,2048,6,64,1,2,256,8,8,0.319488
11,2048,6,64,1,2,256,8,9,0.320512
11,2048,6,64,1,2,256,8,10,0.321536
11,2048,6,64,2,4,512,4,1,0.37376
11,2048,6,64,2,4,512,4,2,0.376832
11,2048,6,64,2,4,512,4,3,0.37376
11,2048,6,64,2,4,512,4,4,0.374784
11,2048,6,64,2,4,512,4,5,0.375808
11,2048,6,64,2,4,512,4,6,0.374784
11,2048,6,64,2,4,512,4,7,0.375808
11,2048,6,64,2,4,512,4,8,0.374784
11,2048,6,64,2,4,512,4,9,0.37376
11,2048,6,64,2,4,512,4,10,0.37376
11,2048,6,64,3,8,1024,2,1,0.494592
11,2048,6,64,3,8,1024,2,2,0.49664
11,2048,6,64,3,8,1024,2,3,0.495616
11,2048,6,64,3,8,1024,2,4,0.495616
11,2048,6,64,3,8,1024,2,5,0.49664
11,2048,6,64,3,8,1024,2,6,0.494592
11,2048,6,64,3,8,1024,2,7,0.495616
11,2048,6,64,3,8,1024,2,8,0.495616
11,2048,6,64,3,8,1024,2,9,0.495616
11,2048,6,64,3,8,1024,2,10,0.494592
11,2048,6,64,4,16,2048,1,1,0.713728
11,2048,6,64,4,16,2048,1,2,0.714752
11,2048,6,64,4,16,2048,1,3,0.714752
11,2048,6,64,4,16,2048,1,4,0.713728
11,2048,6,64,4,16,2048,1,5,0.713728
11,2048,6,64,4,16,2048,1,6,0.715776
11,2048,6,64,4,16,2048,1,7,0.713728
11,2048,6,64,4,16,2048,1,8,0.713728
11,2048,6,64,4,16,2048,1,9,0.714752
11,2048,6,64,4,16,2048,1,10,0.714752
11,2048,7,128,0,1,256,8,1,0.282624
11,2048,7,128,0,1,256,8,2,0.284672
11,2048,7,128,0,1,256,8,3,0.2816
11,2048,7,128,0,1,256,8,4,0.283648
11,2048,7,128,0,1,256,8,5,0.282624
11,2048,7,128,0,1,256,8,6,0.282624
11,2048,7,128,0,1,256,8,7,0.283648
11,2048,7,128,0,1,256,8,8,0.284672
11,2048,7,128,0,1,256,8,9,0.282624
11,2048,7,128,0,1,256,8,10,0.283648
11,2048,7,128,1,2,512,4,1,0.31744
11,2048,7,128,1,2,512,4,2,0.31744
11,2048,7,128,1,2,512,4,3,0.314368
11,2048,7,128,1,2,512,4,4,0.316416
11,2048,7,128,1,2,512,4,5,0.31744
11,2048,7,128,1,2,512,4,6,0.315392
11,2048,7,128,1,2,512,4,7,0.315392
11,2048,7,128,1,2,512,4,8,0.316416
11,2048,7,128,1,2,512,4,9,0.316416
11,2048,7,128,1,2,512,4,10,0.316416
11,2048,7,128,2,4,1024,2,1,0.370688
11,2048,7,128,2,4,1024,2,2,0.370688
11,2048,7,128,2,4,1024,2,3,0.372736
11,2048,7,128,2,4,1024,2,4,0.370688
