vector_size_exponent,vector_size,threads_per_block_exponent,threads_per_block,comparators_per_thread_exponent,comparators_per_thread,values_per_block,blocks_per_grid,repetition,elapsed_time_ms
11,2048,5,32,0,1,64,32,1,0.08704
11,2048,5,32,0,1,64,32,2,0.062464
11,2048,5,32,0,1,64,32,3,0.062464
11,2048,5,32,0,1,64,32,4,0.062464
11,2048,5,32,0,1,64,32,5,0.062464
11,2048,5,32,0,1,64,32,6,0.062464
11,2048,5,32,0,1,64,32,7,0.062464
11,2048,5,32,0,1,64,32,8,0.062464
11,2048,5,32,0,1,64,32,9,0.063488
11,2048,5,32,0,1,64,32,10,0.062464
11,2048,5,32,1,2,128,16,1,0.079872
11,2048,5,32,1,2,128,16,2,0.057344
11,2048,5,32,1,2,128,16,3,0.05632
11,2048,5,32,1,2,128,16,4,0.05632
11,2048,5,32,1,2,128,16,5,0.05632
11,2048,5,32,1,2,128,16,6,0.057344
11,2048,5,32,1,2,128,16,7,0.05632
11,2048,5,32,1,2,128,16,8,0.05632
11,2048,5,32,1,2,128,16,9,0.057344
11,2048,5,32,1,2,128,16,10,0.057344
11,2048,5,32,2,4,256,8,1,0.080896
11,2048,5,32,2,4,256,8,2,0.059392
11,2048,5,32,2,4,256,8,3,0.059392
11,2048,5,32,2,4,256,8,4,0.059392
11,2048,5,32,2,4,256,8,5,0.058368
11,2048,5,32,2,4,256,8,6,0.058368
11,2048,5,32,2,4,256,8,7,0.059392
11,2048,5,32,2,4,256,8,8,0.059392
11,2048,5,32,2,4,256,8,9,0.059392
11,2048,5,32,2,4,256,8,10,0.059392
11,2048,5,32,3,8,512,4,1,0.105472
11,2048,5,32,3,8,512,4,2,0.075776
11,2048,5,32,3,8,512,4,3,0.0768
11,2048,5,32,3,8,512,4,4,0.075776
11,2048,5,32,3,8,512,4,5,0.075776
11,2048,5,32,3,8,512,4,6,0.0768
11,2048,5,32,3,8,512,4,7,0.0768
11,2048,5,32,3,8,512,4,8,0.075776
11,2048,5,32,3,8,512,4,9,0.075776
11,2048,5,32,3,8,512,4,10,0.075776
11,2048,5,32,4,16,1024,2,1,0.176128
11,2048,5,32,4,16,1024,2,2,0.12288
11,2048,5,32,4,16,1024,2,3,0.121856
11,2048,5,32,4,16,1024,2,4,0.121856
11,2048,5,32,4,16,1024,2,5,0.12288
11,2048,5,32,4,16,1024,2,6,0.12288
11,2048,5,32,4,16,1024,2,7,0.12288
11,2048,5,32,4,16,1024,2,8,0.121856
11,2048,5,32,4,16,1024,2,9,0.121856
11,2048,5,32,4,16,1024,2,10,0.121856
11,2048,6,64,0,1,128,16,1,0.048128
11,2048,6,64,0,1,128,16,2,0.047104
11,2048,6,64,0,1,128,16,3,0.047104
11,2048,6,64,0,1,128,16,4,0.048128
11,2048,6,64,0,1,128,16,5,0.048128
11,2048,6,64,0,1,128,16,6,0.047104
11,2048,6,64,0,1,128,16,7,0.047104
11,2048,6,64,0,1,128,16,8,0.047104
11,2048,6,64,0,1,128,16,9,0.048128
11,2048,6,64,0,1,128,16,10,0.048128
11,2048,6,64,1,2,256,8,1,0.044032
11,2048,6,64,1,2,256,8,2,0.043008
11,2048,6,64,1,2,256,8,3,0.044032
11,2048,6,64,1,2,256,8,4,0.043008
11,2048,6,64,1,2,256,8,5,0.043008
11,2048,6,64,1,2,256,8,6,0.044032
11,2048,6,64,1,2,256,8,7,0.044032
