vector_size_exponent,repetition,elapsed_time_ms
11,1,2.4832
11,2,2.47296
11,3,2.47091
11,4,2.47398
11,5,2.48218
12,1,4.95206
12,2,4.92851
12,3,4.94182
12,4,4.93056
12,5,4.94592
13,1,9.87136
13,2,9.84474
13,3,9.83347
13,4,9.86931
13,5,9.86624
14,1,19.6465
14,2,19.7417
14,3,19.7366
14,4,19.6465
14,5,19.7325
15,1,40.4357
15,2,39.2591
15,3,39.3667
15,4,39.2704
15,5,39.2827
16,1,78.9002
16,2,78.5428
16,3,78.5551
16,4,78.7139
16,5,78.5777
17,1,157.236
17,2,157.286
17,3,158.297
17,4,157.194
17,5,156.997
18,1,316.046
18,2,315.697
18,3,315.656
18,4,315.668
18,5,316.829
19,1,637.474
19,2,636.716
19,3,637.186
19,4,637.086
19,5,638.544
20,1,1279.11
20,2,1277.72
20,3,1277.79
20,4,1283.07
20,5,1278.74
21,1,2560.39
21,2,2568.02
21,3,2565.13
21,4,2568.58
21,5,2562.61
22,1,10093.8
22,2,10100.5
22,3,10089.4
22,4,10084.5
22,5,10088.5
23,1,20167
23,2,20178
23,3,20161
23,4,20154.9
23,5,20174.6
